Ensemble,best_train_rmse,best_train_r2,best_train_mae,best_val_rmse,best_val_r2,best_val_mae
1,0.223195925,0.987409923,0.156158372,0.940048523,0.735634771,0.686720301
2,0.223842697,0.987319119,0.156987489,0.932030908,0.738995956,0.686979453
3,0.221890556,0.987547744,0.156762905,0.933629124,0.740124802,0.687486959
4,0.221778805,0.987556883,0.156407596,0.928064378,0.744040715,0.685405059
5,0.221683304,0.987560827,0.156467984,0.934045525,0.738855519,0.688041142
6,0.222277367,0.987511945,0.157019447,0.92161344,0.746265005,0.683975933
7,0.222712709,0.987442406,0.157170016,0.93452031,0.739166115,0.692856294
8,0.223541037,0.987342003,0.156675547,0.931612703,0.738216203,0.690505713
9,0.222678624,0.987433179,0.156191279,0.931046988,0.739616848,0.687890345
10,0.222856193,0.987426271,0.15718157,0.940019069,0.736145127,0.69048208
