Ensemble,best_train_rmse,best_train_r2,best_train_mae,best_val_rmse,best_val_r2,best_val_mae
1,0.115873437,0.996809506,0.085493857,0.868354639,0.793208799,0.656986922
2,0.117430068,0.996725241,0.086389492,0.899362008,0.77898297,0.677634482
3,0.119037331,0.99663298,0.088157095,0.866332569,0.800887264,0.663965112
4,0.116496916,0.996772492,0.085140881,0.867742813,0.807199487,0.656722068
5,0.116758935,0.996758142,0.085875453,0.875853996,0.796461904,0.655976379
6,0.117672104,0.996709091,0.086649978,0.88737625,0.787166934,0.667315338
7,0.116012084,0.996803004,0.085085465,0.879434877,0.790917161,0.656264867
8,0.116131466,0.996796071,0.084692139,0.857162355,0.805516633,0.64415817
9,0.116096435,0.996801734,0.084652869,0.866882122,0.802885343,0.651294122
10,0.116338032,0.996784921,0.085919064,0.870287152,0.802467663,0.654007014
