Ensemble,best_train_rmse,best_train_r2,best_train_mae,best_val_rmse,best_val_r2,best_val_mae
1,0.320449956,0.973879224,0.245543032,0.838609141,0.82816218,0.644385654
2,0.261454734,0.982731272,0.197413837,0.830085195,0.826763188,0.648589727
3,0.302309965,0.975529297,0.23193337,0.816111758,0.82711224,0.629022221
4,0.270219532,0.981484322,0.206790723,0.797010418,0.834600383,0.621134266
5,0.330798192,0.968980518,0.257424508,0.814335359,0.819880927,0.635068134
6,0.316361063,0.974796837,0.23167751,0.832466741,0.824587438,0.630566895
7,0.36917803,0.964550037,0.288506278,0.800312762,0.838095541,0.614259765
8,0.645342334,0.894232463,0.318518447,0.800845984,0.831173197,0.627908628
9,0.261482033,0.982217103,0.195420059,0.811790792,0.82462638,0.634469836
10,0.514186202,0.922989794,0.387976767,0.838147198,0.817791253,0.650085389
