repeat,fold,best_train_rmse,best_train_r2,best_train_mae,best_val_rmse,best_val_r2,best_val_mae
1,1,0.490717783,0.93645221,0.355004907,0.676545433,0.894424915,0.491200566
1,2,0.483009984,0.941699266,0.358780891,0.637548433,0.90157342,0.461774349
1,3,0.382893846,0.966384828,0.278846502,0.664706782,0.884129286,0.457657278
1,4,0.426877561,0.957099974,0.31041345,0.67785716,0.882900774,0.488595068
1,5,0.525912001,0.933338583,0.385838836,0.645749069,0.890487611,0.482378751
2,1,0.521733742,0.925206065,0.393084943,0.724748953,0.863218546,0.510918379
2,2,0.517565745,0.937276363,0.372678012,0.621645125,0.910048544,0.473855108
2,3,0.462402424,0.943704307,0.344657123,0.636807558,0.871388733,0.481186062
2,4,0.500096878,0.937246025,0.363875508,0.671595759,0.865036964,0.496963441
2,5,0.541507153,0.927703619,0.378546923,0.711934198,0.891125679,0.502349257
3,1,0.514981909,0.931003809,0.389013886,0.709920806,0.882829249,0.539312422
3,2,0.485799955,0.938730478,0.369225532,0.694875301,0.875464499,0.475284338
3,3,0.468260478,0.94707191,0.328965038,0.693658383,0.870564699,0.484870911
3,4,0.484042146,0.943781793,0.361209393,0.62497034,0.908109307,0.473161429
3,5,0.495737248,0.941878319,0.376990229,0.657374894,0.871390104,0.483832419
4,1,0.493587818,0.938521087,0.365143061,0.596339277,0.903270006,0.435993284
4,2,0.453619243,0.946452022,0.336806476,0.71958394,0.885174751,0.497143954
4,3,0.545530847,0.925908029,0.380714744,0.647837511,0.875645518,0.46626389
4,4,0.458193467,0.948552787,0.342508674,0.676059004,0.870578587,0.478413343
4,5,0.445138897,0.948847175,0.324219435,0.669523404,0.903005302,0.494001746
5,1,0.451405007,0.951442838,0.330679715,0.641132898,0.89157331,0.470600784
5,2,0.5184514,0.938176751,0.389227092,0.698484195,0.878853083,0.510224283
5,3,0.479477985,0.943454325,0.350592166,0.714007696,0.841568291,0.517075896
5,4,0.426748664,0.95626837,0.314231247,0.68875214,0.900658309,0.489372849
5,5,0.790674621,0.835415661,0.432541937,0.655345248,0.889436066,0.483218759
