repeat,fold,best_train_rmse,best_train_r2,best_train_mae,best_val_rmse,best_val_r2,best_val_mae
1,1,0.237884319,0.986860989,0.170496678,0.709406649,0.893531052,0.486986456
1,2,0.247210497,0.986116486,0.176784471,0.529959384,0.934901143,0.395379916
1,3,0.239490173,0.987099592,0.172952585,0.637475023,0.901962119,0.462091645
1,4,0.242227314,0.986616503,0.172943406,0.691941744,0.891422864,0.503802522
1,5,0.247021201,0.986162184,0.174361816,0.633799752,0.905304655,0.470697903
2,1,0.239407489,0.986722723,0.172152049,0.674745063,0.902381557,0.495211892
2,2,0.248869527,0.985788761,0.178101105,0.539740275,0.935583673,0.414984487
2,3,0.241929869,0.987182617,0.172526138,0.59161479,0.905076955,0.436471813
2,4,0.242211563,0.986876031,0.173023952,0.692835834,0.880444556,0.49990715
2,5,0.241908685,0.986197631,0.173532814,0.64061526,0.917896177,0.4453422
3,1,0.248078205,0.985719681,0.177053026,0.617954364,0.919028738,0.438233255
3,2,0.240075352,0.986778498,0.173626522,0.65692492,0.90355519,0.460678484
3,3,0.242111103,0.986654299,0.173135189,0.659279343,0.900546974,0.487023081
3,4,0.240057383,0.986813936,0.170448215,0.646590762,0.906115804,0.473402902
3,5,0.245277534,0.986689169,0.176786656,0.540590817,0.924435519,0.409370026
4,1,0.250681905,0.985863747,0.178216588,0.577542433,0.918641132,0.42193342
4,2,0.236149389,0.986921422,0.170604397,0.665187583,0.909635276,0.465705153
4,3,0.244973177,0.986858515,0.177030567,0.603825574,0.901161202,0.445049429
4,4,0.24449914,0.98661736,0.173672709,0.647579576,0.89716264,0.455053518
4,5,0.239172632,0.98639584,0.16994002,0.664527348,0.912790932,0.48679171
5,1,0.245099328,0.986439173,0.173768528,0.611324996,0.911662077,0.44829806
5,2,0.238308402,0.987137859,0.170915255,0.695625526,0.887250187,0.47719408
5,3,0.239454439,0.98719018,0.171682428,0.673814833,0.886021665,0.471642275
5,4,0.242009045,0.986278037,0.173096319,0.629006683,0.918964056,0.469154785
5,5,0.249164767,0.985767331,0.177496017,0.547818988,0.933323726,0.417093399
