repeat,fold,best_train_rmse,best_train_r2,best_train_mae,best_val_rmse,best_val_r2,best_val_mae
1,1,0.115183658,0.99691956,0.08672922,0.58993372,0.926372697,0.40387016
1,2,0.119638593,0.996748317,0.088585558,0.539164738,0.932619977,0.395795523
1,3,0.121282508,0.996691551,0.089905006,0.594731577,0.914668464,0.429482288
1,4,0.122063953,0.996601414,0.089030846,0.581105479,0.923421076,0.407730678
1,5,0.117533233,0.996867288,0.088738901,0.564199693,0.924960455,0.411699375
2,1,0.123724195,0.996453967,0.091482399,0.598923855,0.923087723,0.449176533
2,2,0.126008193,0.996356774,0.0950062,0.452388188,0.95474685,0.33997812
2,3,0.117097433,0.996997278,0.086883435,0.56751277,0.912653624,0.411942918
2,4,0.123035407,0.99661362,0.091031581,0.599429347,0.910507905,0.42476271
2,5,0.112659232,0.997006465,0.082505527,0.626874006,0.921380669,0.417808728
3,1,0.123777373,0.99644497,0.091467937,0.564273225,0.932485511,0.416490508
3,2,0.123183307,0.996519118,0.089566032,0.603130219,0.918703927,0.422441057
3,3,0.114187457,0.99703142,0.086120534,0.599696138,0.917711041,0.418114872
3,4,0.114773918,0.996985804,0.084975534,0.58131371,0.924115228,0.419956979
3,5,0.11920757,0.996855893,0.088562654,0.489844465,0.937956429,0.368765462
4,1,0.120379749,0.996740168,0.090999704,0.497220066,0.939697628,0.349837111
4,2,0.122725377,0.996467716,0.089374854,0.613569717,0.923115553,0.440108028
4,3,0.118237808,0.9969386,0.087121675,0.539043733,0.921231522,0.398822017
4,4,0.11988822,0.99678234,0.089302969,0.565066051,0.921699765,0.391716216
4,5,0.117133798,0.996737029,0.086426637,0.634854729,0.920405209,0.457077145
5,1,0.12157318,0.996663605,0.090056378,0.554916717,0.927212217,0.411083553
5,2,0.121645363,0.996648604,0.089943417,0.617806524,0.911065598,0.416196337
5,3,0.12213348,0.996667527,0.089569274,0.580770183,0.915326054,0.405333469
5,4,0.117685987,0.996755091,0.08907902,0.599389895,0.926415556,0.417401525
5,5,0.118689992,0.996770455,0.088184917,0.531519721,0.937232342,0.406765384
