repeat,fold,best_train_rmse,best_train_r2,best_train_mae,best_val_rmse,best_val_r2,best_val_mae
1,1,0.245641105,0.985990161,0.172080026,0.583106786,0.928066922,0.403142583
1,2,0.424078853,0.959143721,0.310517481,0.565933182,0.925763325,0.419639329
1,3,0.239306049,0.98711942,0.163580166,0.560342867,0.924251286,0.386504774
1,4,0.252701797,0.985434009,0.172197922,0.542752253,0.933195982,0.389688026
1,5,0.284899856,0.981592977,0.199412676,0.567440166,0.924096003,0.416431926
2,1,0.232647408,0.987461951,0.159247295,0.579603017,0.927969949,0.417120838
2,2,0.419684036,0.959585855,0.308727383,0.566355907,0.929074048,0.404797935
2,3,0.243773986,0.986986471,0.165862225,0.543053495,0.920020471,0.387583056
2,4,0.269375106,0.983767315,0.190074221,0.558746232,0.922243288,0.399620807
2,5,0.281811404,0.981268703,0.198627238,0.604306681,0.926939336,0.424680747
3,1,0.240896199,0.986534559,0.164509028,0.576062257,0.929634959,0.389727996
3,2,0.247710129,0.985924197,0.166038785,0.53713376,0.935521891,0.388332739
3,3,0.740934019,0.875011212,0.568494812,1.80610134,0.253614327,0.770891435
3,4,0.223522893,0.98856782,0.155417424,0.579498649,0.924588365,0.408930769
3,5,0.356451196,0.971888126,0.25225403,0.531691011,0.926903091,0.382485382
4,1,0.279318641,0.982449553,0.195568239,0.547368079,0.926920422,0.377213384
4,2,0.516927474,0.937331962,0.393738382,0.704608281,0.898607427,0.495223485
4,3,0.342783068,0.974269626,0.250278321,0.505168344,0.930820614,0.366840271
4,4,0.317106256,0.977488898,0.224031263,0.549446386,0.925968717,0.38778527
4,5,0.239323503,0.986378672,0.168222349,0.606567267,0.927340255,0.44046259
5,1,0.24387475,0.986574341,0.1657795,0.514242611,0.937491512,0.377750375
5,2,0.228029865,0.988223451,0.156676242,0.638537624,0.904996896,0.420305452
5,3,0.251616538,0.985855891,0.172673606,0.619495952,0.903657454,0.428977799
5,4,0.312524973,0.977116498,0.223291599,0.625533995,0.91985637,0.440752451
5,5,0.301435776,0.979169357,0.217703526,0.556091625,0.931294759,0.399418879
