number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
41,0.631189101,47:49.8,51:53.9,0 days 00:04:04.096711,34,0.329906451,1,3,893,COMPLETE
42,0.631209784,51:53.9,55:54.0,0 days 00:04:00.117778,32,0.329595124,1,3,882,COMPLETE
15,0.631752768,00:42.5,05:33.1,0 days 00:04:50.606884,37,0.409161993,1,2,810,COMPLETE
43,0.631847435,55:54.0,59:56.2,0 days 00:04:02.120653,31,0.327331101,1,4,949,COMPLETE
36,0.631889743,30:13.1,34:17.8,0 days 00:04:04.663693,34,0.34297922,1,4,922,COMPLETE
34,0.631922748,23:00.4,26:54.5,0 days 00:03:54.094411,34,0.304693511,1,3,908,COMPLETE
33,0.632032486,17:39.3,23:00.4,0 days 00:05:21.106156,38,0.404894129,1,2,908,COMPLETE
24,0.632292152,35:54.4,40:32.7,0 days 00:04:38.256891,36,0.466801803,1,2,698,COMPLETE
14,0.632319549,56:07.8,00:42.5,0 days 00:04:34.752144,36,0.407428434,1,2,774,COMPLETE
44,0.632379347,59:56.2,04:02.8,0 days 00:04:06.645170,29,0.329338989,1,4,954,COMPLETE
28,0.632558863,56:30.7,01:31.0,0 days 00:05:00.305052,38,0.439008069,1,2,793,COMPLETE
31,0.63264315,07:40.6,12:33.9,0 days 00:04:53.282592,38,0.434608136,1,2,775,COMPLETE
22,0.632779901,28:38.9,32:07.1,0 days 00:03:28.173407,32,0.36759758,1,4,723,COMPLETE
21,0.632783566,25:10.0,28:38.9,0 days 00:03:28.893978,33,0.365737069,1,4,728,COMPLETE
49,0.632844224,16:35.7,20:43.9,0 days 00:04:08.199505,18,0.367153959,1,4,883,COMPLETE
45,0.632925227,04:02.8,07:56.1,0 days 00:03:53.334413,25,0.347362695,1,4,871,COMPLETE
32,0.633001253,12:33.9,17:39.3,0 days 00:05:05.375976,34,0.455721586,1,3,834,COMPLETE
35,0.634102236,26:54.5,30:13.1,0 days 00:03:18.632387,30,0.302944395,2,3,912,COMPLETE
37,0.63413988,34:17.8,37:36.9,0 days 00:03:19.164879,33,0.302212836,2,4,923,COMPLETE
26,0.634275322,44:02.5,52:04.8,0 days 00:08:02.257022,40,0.572231436,1,2,1000,COMPLETE
47,0.63441785,11:24.6,15:19.7,0 days 00:03:55.181308,27,0.31892843,1,5,972,COMPLETE
0,0.63452104,09:10.5,11:47.7,0 days 00:02:37.124169,32,0.371517459,1,5,551,COMPLETE
25,0.634658494,40:32.7,44:02.5,0 days 00:03:29.851915,36,0.461922625,2,2,658,COMPLETE
13,0.634681097,52:17.2,56:07.8,0 days 00:03:50.601306,23,0.423616992,1,5,745,COMPLETE
23,0.634829292,32:07.1,35:54.4,0 days 00:03:47.359642,29,0.395960611,2,3,810,COMPLETE
19,0.635227818,15:50.7,21:15.3,0 days 00:05:24.573518,27,0.562032958,1,2,670,COMPLETE
40,0.635659347,44:05.2,47:49.8,0 days 00:03:44.567478,38,0.361602359,2,5,909,COMPLETE
12,0.636187185,49:28.5,52:17.2,0 days 00:02:48.635028,22,0.421842486,2,5,583,COMPLETE
29,0.636211131,01:31.0,04:50.8,0 days 00:03:19.802139,31,0.396812371,1,6,701,COMPLETE
48,0.637587124,15:19.7,16:35.7,0 days 00:01:15.969442,31,0.347231569,2,6,326,COMPLETE
9,0.638575172,37:30.3,41:24.6,0 days 00:03:54.349101,14,0.642062587,2,4,550,COMPLETE
11,0.638723826,44:13.1,49:28.5,0 days 00:05:15.385718,21,0.711915148,1,4,610,COMPLETE
46,0.63969912,07:56.1,11:24.6,0 days 00:03:28.417143,32,0.382700347,2,7,842,COMPLETE
3,0.639965926,16:56.1,20:34.9,0 days 00:03:38.814308,17,0.335347943,1,8,917,COMPLETE
4,0.640951393,20:34.9,23:05.3,0 days 00:02:30.319547,28,0.504485093,2,7,464,COMPLETE
17,0.641151725,08:46.6,12:02.0,0 days 00:03:15.365661,36,0.381605685,3,2,820,COMPLETE
27,0.64162261,52:04.8,56:30.7,0 days 00:04:25.919318,35,0.491219251,3,3,863,COMPLETE
39,0.641642321,40:50.9,44:05.2,0 days 00:03:14.365249,34,0.320690736,3,5,957,COMPLETE
6,0.642585358,26:08.9,28:56.6,0 days 00:02:47.796343,31,0.536876834,2,8,502,COMPLETE
7,0.642735988,28:56.7,33:01.0,0 days 00:04:04.383972,27,0.622873002,3,3,658,COMPLETE
8,0.644737135,33:01.0,37:30.3,0 days 00:04:29.226451,15,0.603293309,2,8,734,COMPLETE
1,0.646717431,11:47.7,13:11.9,0 days 00:01:24.215361,34,0.301268713,3,8,449,COMPLETE
30,0.646763341,04:50.8,07:40.6,0 days 00:02:49.750669,25,0.345568017,2,10,784,COMPLETE
18,0.647844485,12:02.0,15:50.7,0 days 00:03:48.718185,37,0.465957946,4,3,860,COMPLETE
16,0.64895362,05:33.1,08:46.6,0 days 00:03:13.492723,40,0.429782354,4,2,789,COMPLETE
10,0.649923563,41:24.6,44:13.1,0 days 00:02:48.515056,40,0.760092191,1,10,368,COMPLETE
5,0.650612297,23:05.3,26:08.9,0 days 00:03:03.592544,14,0.32451962,4,7,960,COMPLETE
20,0.65605835,21:15.3,25:10.0,0 days 00:03:54.696892,37,0.516995485,5,3,873,COMPLETE
38,0.656213491,37:36.9,40:50.9,0 days 00:03:13.938030,8,0.342227237,1,6,996,COMPLETE
2,0.665692539,13:11.9,16:56.1,0 days 00:03:44.237753,8,0.475778834,5,8,953,COMPLETE
