number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.6143502555612838,2025-12-17 18:11:39.490749,2025-12-17 18:11:59.580977,0 days 00:00:20.090228,0.8449571029592047,0.18325028708646435,0.09231851332391205,6,3,429,0.18704533607217602,1.374839398347334,0.7943839584576831,COMPLETE
1,0.5925524646818733,2025-12-17 18:11:59.584079,2025-12-17 18:12:55.615335,0 days 00:00:56.031256,0.8043237244387562,0.20079988085088657,0.02033732206566857,5,10,970,0.02877218447480503,8.88941722476027,0.7868453049736327,COMPLETE
2,0.5923745557855052,2025-12-17 18:12:55.618334,2025-12-17 18:13:15.023332,0 days 00:00:19.404998,0.7417016588116678,0.4236288869356309,0.05312184608448479,4,10,791,0.11658860398032417,3.8935242538637844,0.6912068879970679,COMPLETE
3,0.6588643127000053,2025-12-17 18:13:15.026013,2025-12-17 18:13:35.676274,0 days 00:00:20.650261,0.7552267272089586,0.009675880937831394,0.011348802738520238,3,7,547,0.10117781316351025,3.649291975134183,0.9689205584016612,COMPLETE
4,0.6226256545201575,2025-12-17 18:13:35.679153,2025-12-17 18:14:06.822597,0 days 00:00:31.143444,0.6682801558003453,0.3277208559836653,0.03063677378205268,7,9,867,0.09721017684782914,4.853673495644037,0.9841950116501152,COMPLETE
5,0.5779650884730557,2025-12-17 18:14:06.826007,2025-12-17 18:15:15.537479,0 days 00:01:08.711472,0.6687998195455666,0.06728501527072756,0.02477817760613355,5,9,1189,0.006135223643770083,9.49426185358128,0.6220238745936698,COMPLETE
6,0.6279626162517123,2025-12-17 18:15:15.540573,2025-12-17 18:16:04.705309,0 days 00:00:49.164736,0.5455415347752577,0.2627371655185874,0.017735104850910757,7,3,502,0.026208771103673992,3.0074762955458185,0.992202895604499,COMPLETE
7,0.6059578450082512,2025-12-17 18:16:04.708564,2025-12-17 18:16:24.189745,0 days 00:00:19.481181,0.6889238794039467,0.11976274757459082,0.09939286410655566,6,9,802,0.10454301823289779,2.263437122196361,0.7355933504359337,COMPLETE
8,0.6104537151513052,2025-12-17 18:16:24.192817,2025-12-17 18:16:40.360051,0 days 00:00:16.167234,0.5390433005899091,0.42339459323839246,0.09047213496335098,5,6,1117,0.18955106226972473,8.0283856974342,0.7945567274244849,COMPLETE
9,0.6012164539455987,2025-12-17 18:16:40.362907,2025-12-17 18:17:12.363806,0 days 00:00:32.000899,0.6884245821756199,0.4687727787751455,0.031494158611141736,6,8,1045,0.17350931888756516,3.7931424831128173,0.6593206400751458,COMPLETE
10,0.5736123980243297,2025-12-17 18:17:12.366872,2025-12-17 18:17:53.805421,0 days 00:00:41.438549,0.613257244378913,0.0001647574986616135,0.04832823584260039,3,1,1186,0.0013757147311821939,6.957410509951938,0.62190442468726,COMPLETE
